id,roi,label.name,x,y,z,side,abbrev,long.name
1,1,LH_F.mar,-22.258,-60.6865,-5.02762,left,L.F.mar,G_and_S_frontomargin
2,2,LH_O.inf,-29.7475,83.5337,-13.9833,left,L.O.inf,G_and_S_occipital_inf
3,3,LH_par.C,-6.93675,35.2098,65.9063,left,L.par.C,G_and_S_paracentral
4,4,LH_sub.C,-58.2811,9.80302,15.7221,left,L.sub.C,G_and_S_subcentral
5,5,LH_tran.F.pol,-16.1292,-66.9148,7.99857,left,L.tran.F.pol,G_and_S_transv_frontopol
6,6,LH_Cin.A,-5.56577,-40.0353,11.1828,left,L.Cin.A,G_and_S_cingul-Ant
7,7,LH_Cin.MA,-5.69049,-11.2295,38.3938,left,L.Cin.MA,G_and_S_cingul-Mid-Ant
8,8,LH_Cin.MP,-6.28372,15.8913,40.0996,left,L.Cin.MP,G_and_S_cingul-Mid-Post
9,9,LH_Cin.PD,-3.32571,39.7176,31.6088,left,L.Cin.PD,G_cingul-Post-dorsal
10,10,LH_Cin.PV,-7.20916,45.6382,6.94656,left,L.Cin.PV,G_cingul-Post-ventral
11,11,LH_CU,-5.06322,81.3575,24.6736,left,L.CU,G_cuneus
12,12,LH_F.inf.Op,-50.0368,-13.3127,11.207,left,L.F.inf.Op,G_front_inf-Opercular
13,13,LH_F.inf.Or,-44.3387,-22.7891,-7.74121,left,L.F.inf.Or,G_front_inf-Orbital
14,14,LH_F.inf.Tr,-50.8645,-33.3837,7.99673,left,L.F.inf.Tr,G_front_inf-Triangul
15,15,LH_F.mid,-35.5353,-34.9661,36.0891,left,L.F.mid,G_front_middle
16,16,LH_F.sup,-8.10243,-23.0047,50.1512,left,L.F.sup,G_front_sup
17,17,LH_Ins.ig,-37.9254,4.43484,-2.28084,left,L.Ins.ig,G_Ins_lg_and_S_cent_ins
18,18,LH_Ins.sh,-36.9078,-9.73848,-4.81252,left,L.Ins.sh,G_insular_short
19,19,LH_O.mid,-41.9655,83.7906,4.85689,left,L.O.mid,G_occipital_middle
20,20,LH_O.sup,-18.8338,90.3962,28.8735,left,L.O.sup,G_occipital_sup
21,21,LH_OT.latfus,-31.9687,48.9596,-19.7717,left,L.OT.latfus,G_oc-temp_lat-fusifor
22,22,LH_OT.medling,-8.13293,67.1013,-1.87327,left,L.OT.medling,G_oc-temp_med-Lingual
23,23,LH_OT.medparhip,-23.4197,19.0637,-27.2068,left,L.OT.medparhip,G_oc-temp_med-Parahip
24,24,LH_Orb,-30.0983,-35.9303,-17.8821,left,L.Orb,G_orbital
25,25,LH_P.infang,-53.9815,62.8627,30.9841,left,L.P.infang,G_pariet_inf-Angular
26,26,LH_P.infsupmar,-58.9772,33.0733,29.3733,left,L.P.infsupmar,G_pariet_inf-Supramar
27,27,LH_P.sup,-29.714,60.7943,57.3631,left,L.P.sup,G_parietal_sup
28,28,LH_pos.C,-42.1648,27.1122,59.8032,left,L.pos.C,G_postcentral
29,29,LH_pre.C,-42.3024,8.06596,51.445,left,L.pre.C,G_precentral
30,30,LH_pre.CU,-7.65028,62.6526,43.7625,left,L.pre.CU,G_precuneus
31,31,LH_R,-3.87474,-41.1956,-19.2314,left,L.R,G_rectus
32,32,LH_sub.Call,-4.08495,-16.3981,-11.1189,left,L.sub.Call,G_subcallosal
33,33,LH_T.sup.Gttra,-47.3758,16.2205,6.57674,left,L.T.sup.Gttra,G_temp_sup-G_T_transv
34,34,LH_T.sup.lat,-54.2403,-0.93174,-12.7905,left,L.T.sup.lat,G_temp_sup-Lateral
35,35,LH_T.sup.pol,-36.4603,-8.92133,-23.2478,left,L.T.sup.pol,G_temp_sup-Plan_polar
36,36,LH_T.sup.tem,-57.1575,28.7323,10.7078,left,L.T.sup.tem,G_temp_sup-Plan_tempo
37,37,LH_T.inf,-54.0658,34.5419,-26.1495,left,L.T.inf,G_temporal_inf
38,38,LH_T.mid,-61.0599,23.812,-15.6397,left,L.T.mid,G_temporal_middle
39,39,LH_Lat.FisHor,-37.9872,-25.7564,-1.04102,left,L.Lat.FisHor,Lat_Fis-ant-Horizont
40,40,LH_Lat.FisVer,-45.8016,-20.4615,10.1498,left,L.Lat.FisVer,Lat_Fis-ant-Vertical
41,41,LH_Lat.FisPos,-39.9779,29.6267,15.9501,left,L.Lat.FisPos,Lat_Fis-post
43,43,LH_pole.O,-13.808,96.601,-7.58149,left,L.pole.O,Pole_occipital
44,44,LH_poleT,-30.7523,-6.43771,-39.8563,left,L.poleT,Pole_temporal
45,45,LH_S.Cal,-14.8615,66.4021,5.24413,left,L.S.Cal,S_calcarine
46,46,LH_S.Cen,-37.178,18.7504,46.8973,left,L.S.Cen,S_central
47,47,LH_S.cingM,-11.7692,38.5883,46.7976,left,L.S.cingM,S_cingul-Marginalis
