"urm","vox.x","vox.y","vox.z","vox.vol","vox.n","L.F.mar","L.O.inf","L.par.C","L.sub.C","L.tran.F.pol","L.Cin.A","L.Cin.MA","L.Cin.MP","L.Cin.PD","L.Cin.PV","L.CU","L.F.inf.Op","L.F.inf.Or","L.F.inf.Tr","L.F.mid","L.F.sup","L.Ins.ig","L.Ins.sh","L.O.mid","L.O.sup","L.OT.latfus","L.OT.medling","L.OT.medparhip","L.Orb","L.P.infang","L.P.infsupmar","L.P.sup","L.pos.C","L.pre.C","L.pre.CU","L.R","L.sub.Call","L.T.sup.Gttra","L.T.sup.lat","L.T.sup.pol","L.T.sup.tem","L.T.inf","L.T.mid","L.Lat.FisHor","L.Lat.FisVer","L.Lat.FisPos","L.pole.O","L.poleT","L.S.Cal","L.S.Cen","L.S.cingM","L.S.Ins.ant","L.S.Ins.inf","L.S.Ins.sup","L.S.coll.tra.ant","L.S.coll.tra.pos","L.S.F.inf","L.S.F.mid","L.S.F.sup","L.S.IPJ","L.S.Iptra","L.S.O.mid.Lu","L.S.O.sup.tra","L.S.O.ant","L.S.O.lat","L.S.OT.med.ling","L.S.Orb.lat","L.S.Orb.med","L.S.Orb.H","L.S.PO","L.S.per.Call","L.S.pos.C","L.S.pre.C.inf","L.S.pre.C.sup","L.S.sub.Orb","L.S.sub.P","L.S.T.inf","L.S.T.sup","L.S.T.tra","R.F.mar","R.O.inf","R.par.C","R.sub.C","R.tran.F.pol","R.Cin.A","R.Cin.MA","R.Cin.MP","R.Cin.PD","R.Cin.PV","R.CU","R.F.inf.Op","R.F.inf.Or","R.F.inf.Tr","R.F.mid","R.F.sup","R.Ins.ig","R.Ins.sh","R.O.mid","R.O.sup","R.OT.latfus","R.OT.medling","R.OT.medparhip","R.Orb","R.P.infang","R.P.infsupmar","R.P.sup","R.pos.C","R.pre.C","R.pre.CU","R.R","R.sub.Call","R.T.sup.Gttra","R.T.sup.lat","R.T.sup.pol","R.T.sup.tem","R.T.inf","R.T.mid","R.Lat.FisHor","R.Lat.FisVer","R.Lat.FisPos","R.pole.O","R.poleT","R.S.Cal","R.S.Cen","R.S.cingM","R.S.Ins.ant","R.S.Ins.inf","R.S.Ins.sup","R.S.coll.tra.ant","R.S.coll.tra.pos","R.S.F.inf","R.S.F.mid","R.S.F.sup","R.S.IPJ","R.S.Iptra","R.S.O.mid.Lu","R.S.O.sup.tra","R.S.O.ant","R.S.O.lat","R.S.OT.med.ling","R.S.Orb.lat","R.S.Orb.med","R.S.Orb.H","R.S.PO","R.S.per.Call","R.S.pos.C","R.S.pre.C.inf","R.S.pre.C.sup","R.S.sub.Orb","R.S.sub.P","R.S.T.inf","R.S.T.sup","R.S.T.tra","L.thal","L.caud","L.putm","L.pall","L.hipp","L.amyg","L.accm","R.thal","R.caud","R.putm","R.pall","R.hipp","R.amyg","R.accm","L.vent","R.vent","icv"
367,1.00000739097595,1,1,1.00000739097595,11730944,2172,3196,3038,2896,1174,5071,3353,2780,1590,513,2622,3412,980,3055,11917,17261,1086,2796,4123,3082,5527,4694,3133,7615,6695,5894,7120,4047,6240,6122,2080,549,1057,6165,1758,1360,7221,8274,468,633,1297,2893,6014,2989,3358,1595,1046,2320,2784,1576,778,3542,1975,4759,364,4882,1002,2190,1109,2033,3789,619,1240,2517,3195,1140,3966,2334,1924,1263,1678,3155,9946,438,1711,2104,2176,3502,2005,6687,3916,2773,1423,517,2910,3547,817,2864,9721,16899,1120,2215,4437,3525,4029,4890,2598,7405,7694,5310,6087,3870,6358,6263,1376,645,765,4932,1958,1061,8073,10462,560,285,1848,4387,6056,3498,3295,1627,1187,1951,2262,2263,895,3060,3135,4771,681,4305,1394,2357,885,1531,3210,662,1404,2919,3673,1605,3445,3708,2016,578,2483,2659,9984,348,6764,4061,5062,1188,4383,1083,337,6309,3950,4933,1316,4742,1065,337,10501,9815,1527706
373,0.999998390674591,1,1,0.999998390674591,11468800,1750,2693,2324,3609,1282,4758,3200,2464,1081,730,2543,3076,572,2263,9387,16843,1054,1762,4337,2161,3062,4159,2817,5145,4892,5571,4654,3910,5300,4784,1944,362,1252,5427,2128,1456,5887,7600,383,386,1595,2682,5110,3480,2854,1431,833,2074,2766,2080,539,3618,1635,3401,752,2951,1178,1162,874,384,2913,418,902,2010,3442,833,3881,3035,1712,850,1425,2170,7472,585,1909,2025,2165,2507,2182,5243,2658,2944,1560,881,2928,3568,735,2298,7607,15764,1200,1752,4085,2592,3549,4429,3095,4924,5385,5868,3971,2645,5261,4365,1449,259,1084,4926,2005,1449,5241,7242,714,349,2059,4080,4866,3397,2978,1698,954,1954,2411,1588,808,2789,2807,3266,944,2963,1144,1384,743,1107,2734,588,956,2369,3127,1580,2848,3335,2124,760,1740,1662,10228,361,5334,3299,3893,1064,3348,829,338,5471,3303,3747,1127,3331,836,376,4212,2803,1262426
4001,1,1,1,1,11534336,1758,2661,2215,2908,1283,3353,1797,2081,1005,463,2462,2220,843,2174,8400,14496,925,1950,3614,1966,3199,4690,2440,4744,5471,5822,5191,2650,5046,4600,2071,420,893,4553,1092,1915,6096,5620,373,434,1389,2517,5049,2523,3087,1407,732,2117,2480,1099,315,2579,2088,3964,424,3747,1022,1296,904,923,3059,314,936,2420,2716,945,3761,2114,1237,839,1612,1217,6629,553,1105,2324,1776,2013,2109,3968,2429,2043,1096,557,2143,2240,613,2236,6828,13045,1100,1939,4205,2314,3775,4086,2272,5770,5756,5089,3692,2427,4918,4825,1487,510,414,4659,1160,1361,5436,5522,411,282,2022,3684,4912,2173,3232,1656,810,1616,1972,1039,378,2374,1890,4198,1164,3597,1103,1819,933,1483,2379,375,1237,2399,2628,1432,2360,1736,1225,306,1417,838,7403,473,5174,3507,3321,1147,3688,882,346,4827,3496,3344,1084,3663,863,315,11260,11850,1310122
4004,1,1,1,1,11534336,1839,2554,2795,2664,1384,4083,2553,2499,1293,310,2577,3305,889,3111,7182,17107,926,2011,4245,2750,4431,3057,3248,5551,5151,5869,6111,4019,4976,5738,1707,310,994,4973,1378,1705,6313,7544,551,418,1527,2868,4587,2205,2415,1640,817,1841,2796,1818,388,3727,2259,3748,238,4425,1196,2085,1631,1340,3180,707,1077,2325,2670,810,4093,2289,1701,1281,1807,917,8495,384,1787,1645,1918,2586,2229,4771,3127,2394,1023,478,2533,2695,911,2304,7998,15533,1101,1689,5092,3315,4274,3713,3609,6148,5509,6104,5035,3062,6176,5536,1169,706,776,4358,1693,1423,6030,7376,806,267,1744,3929,4783,2291,2828,1883,1065,1612,1762,1582,527,2920,2797,4132,458,5265,1087,1982,1479,1555,3281,553,1095,2423,3467,1395,2683,2626,1380,280,2536,1753,9678,303,5400,3651,3692,1205,3568,892,411,5434,3476,3690,1116,3518,845,442,1606,1545,1278148
4009,1.00000143051147,1,1,1.00000143051147,11534336,1687,2760,2856,3046,1478,5134,2721,2674,1688,575,2066,3927,589,3386,9717,18312,1101,2624,4367,2225,4096,3070,2955,5217,5897,7844,5640,3335,6174,5826,2102,480,1422,6408,907,1372,5767,6113,566,541,1578,2718,5448,2501,3249,1933,963,2893,2640,1038,366,3165,2307,4161,275,4785,753,1906,1356,1257,2926,297,928,2503,2608,758,3955,2064,1468,919,2294,1226,7859,563,1555,1641,2402,2468,2555,5804,3319,3156,1193,798,2576,2805,680,2736,7845,17861,1470,2099,4493,2760,4286,3325,3354,6846,5402,6558,4089,3601,6385,4758,1517,340,874,5335,1418,1535,5130,6743,752,292,2040,3765,6058,2422,3244,2667,1280,2193,2847,1070,768,3370,2609,3985,672,5261,484,2089,821,1167,2877,607,932,2808,2925,1799,2964,2191,2199,264,2653,1051,9150,435,5804,3659,4967,1300,4035,996,349,5919,3741,4919,1225,3814,1000,331,8523,11419,1453813
4013,1,1,1,1,11534336,2318,2618,2062,3904,1774,3586,2444,1992,1321,738,2725,3149,601,1862,7827,13208,1245,1934,4270,2682,3107,4262,2519,5308,4813,5030,5079,4731,6321,5469,2064,238,872,5588,1206,1150,4771,7614,611,200,1024,2247,5124,2728,3828,991,717,2134,2065,2231,615,3546,1791,3696,690,3723,1480,1917,930,1240,3010,611,963,1635,2745,1301,3725,2466,1573,1027,1724,2119,7780,487,1706,2168,2312,2771,2273,4991,2831,2140,1452,581,2840,2530,1152,1744,6930,13437,866,1725,4534,2722,3847,4020,2457,5164,6699,4050,4551,3084,5708,5104,985,380,721,4404,1565,1189,4774,8726,547,190,1625,4086,4906,2851,3631,1582,930,1448,1707,1297,546,3183,3538,3141,678,4174,1470,1754,1205,1210,3159,554,731,1995,3124,1631,2455,2743,1382,427,1947,1516,10024,351,5500,3128,4520,1218,3689,738,282,5708,3157,4405,1212,3659,762,293,3697,2044,1201462
4015,1,1,1,1,11534336,2027,1767,2828,2027,1404,3263,1764,2003,939,337,2002,2563,560,2407,7679,14281,947,1604,3218,1737,4004,3932,3581,5056,5251,4767,4814,3222,5018,4520,1698,1056,814,4382,1086,1499,4702,5348,472,462,1390,2231,4382,2409,3625,1756,625,1873,2137,1300,442,2458,1658,4067,417,3579,1182,1498,700,1086,2992,734,873,1912,2209,643,3132,1219,1770,861,908,1184,5798,403,1487,2347,2434,2177,2184,4072,2340,2246,839,488,2197,2462,824,2423,6927,13258,853,1431,4371,2047,2969,4089,2347,4757,4077,4217,3783,2664,5020,4340,1309,315,559,4197,1145,1535,2770,6271,564,215,1911,3010,3724,2287,3468,2063,910,1492,2005,1209,491,2073,1867,2881,343,3800,1028,1712,1149,997,2563,445,871,1989,2112,1248,1944,1983,1972,264,1081,981,7845,289,5429,3229,4132,1099,3335,789,294,5319,3184,4147,1102,3203,762,246,3934,3554,1142004
4018,1,1,1,1,11534336,1284,2995,2618,2515,936,3585,2257,2416,1239,412,1899,3003,900,2973,7531,12617,876,1759,4347,1777,3247,3688,2721,5333,3895,4808,5074,3957,4774,4278,1857,449,680,3943,1356,1085,4487,6026,426,489,1338,2912,3734,2401,3407,1503,938,1775,2339,1168,352,3343,1581,3842,544,3355,1512,1509,1155,1027,2942,400,827,2091,2397,640,3646,1629,2153,1067,1490,1175,6933,437,1424,1960,2047,2288,1639,4143,2438,2716,1138,424,2356,2608,1161,1633,5971,11707,839,1783,4508,2629,2896,4276,2597,5363,4557,5927,3674,3312,5302,4486,1492,496,622,3678,1487,934,3912,7236,532,162,1522,2980,4565,2215,3227,1791,1110,1559,2025,1627,702,2911,2678,3250,324,3174,999,1540,781,872,2442,377,1118,2359,2789,1775,3053,2399,1740,391,1788,1449,7554,387,5865,3323,3960,1071,3512,866,321,5708,3442,4054,1175,3547,896,277,7071,5613,1260083
4027,1,1,1,1,11534336,1489,2724,3087,2552,1601,4448,2614,2074,1534,551,2432,2935,779,2504,8249,14150,1151,1637,3469,1905,3039,4429,2801,5306,4914,5277,5090,3159,5379,4539,1933,629,821,4764,1295,1506,6820,7197,310,410,1449,2335,4826,2920,3197,1617,677,2166,2312,1521,522,3072,1624,4553,428,3903,1034,1884,745,1092,2674,430,861,2310,2578,881,3219,2340,1504,723,1250,1505,7109,228,1349,1861,2310,1922,1757,5754,2730,2122,1582,609,2452,2534,925,2717,7019,14304,1061,1762,4342,2220,2934,4160,3158,6098,5387,5143,4091,2919,5604,4948,1080,397,565,3615,1631,1212,5673,7408,435,360,1604,4413,5726,3216,3242,1364,836,1403,1696,1319,704,3314,1977,3362,969,3304,1303,1929,775,1317,2265,675,962,2387,2558,1703,2509,2218,1768,460,2071,2109,7236,294,5632,3325,4992,1261,3927,788,299,5683,3228,4914,1283,3940,814,268,4552,3728,1371635
4028,1,1,1,1,12124160,2319,1965,2547,2810,1740,4947,2733,3140,1419,338,2542,3523,838,3508,9616,18756,1309,2427,4760,2120,4577,3799,2737,6129,4180,7381,5742,3190,7018,5506,2434,534,971,5594,1622,1754,7393,6569,423,605,1465,2125,6074,2577,3532,2014,805,2415,2833,1431,401,2883,2095,5686,628,6128,1334,1586,743,1406,3407,707,1005,2458,3325,1203,3724,1788,2652,1177,1418,1883,8174,477,1683,2234,2442,2788,2574,5858,3852,3059,1064,606,2199,3849,1179,3881,9392,18887,1180,2045,4100,2344,5093,4118,2515,6075,7938,6548,5552,3046,6530,6138,1503,658,961,5247,1352,1775,4465,9074,544,662,2128,4027,5655,2267,3321,2048,1330,2515,2566,1239,446,3016,2771,4639,854,3857,1046,1452,880,1316,2977,338,1203,2476,3172,1671,3107,2572,2283,704,1832,1318,10327,373,5885,4643,5472,1514,3435,879,494,5966,4566,5397,1526,3477,909,449,3974,3405,1391308
